obd_id,obd_code,obd_description
198,P0171,System Too Lean Bank 1
199,P0172,System Too Rich Bank 1
200,P0173,Fuel Trim Bank 2
201,P0174,System Too Lean Bank 2
202,P0175,System Too Rich Bank 2
203,P0176,Fuel Composition Sensor Circuit
204,P0177,Fuel Composition Sensor Circuit Range/Performance
205,P0178,Fuel Composition Sensor Circuit Low
206,P0179,Fuel Composition Sensor Circuit High
207,P0180,Fuel Temperature Sensor A Circuit
208,P0181,Fuel Temperature Sensor A Circuit Range/Performance
209,P0182,Fuel Temperature Sensor A Circuit Low
210,P0183,Fuel Temperature Sensor A Circuit High
211,P0184,Fuel Temperature Sensor A Circuit Intermittent
212,P0185,Fuel Temperature Sensor B Circuit
213,P0186,Fuel Temperature Sensor B Circuit Range/Performance
214,P0187,Fuel Temperature Sensor B Circuit Low
215,P0188,Fuel Temperature Sensor B Circuit High
216,P0189,Fuel Temperature Sensor B Circuit Intermittent
217,P018A,Fuel Pressure Sensor B Circuit
218,P018B,Fuel Pressure Sensor B Circuit Range/Performance
219,P018C,Fuel Pressure Sensor B Circuit Low
220,P018D,Fuel Pressure Sensor B Circuit High
221,P018E,Fuel Pressure Sensor B Circuit Intermittent/Erratic
222,P0190,Fuel Rail Pressure Sensor A Circuit
223,P0191,Fuel Rail Pressure Sensor A Circuit Range/Performance
224,P0192,Fuel Rail Pressure Sensor A Circuit Low
225,P0193,Fuel Rail Pressure Sensor A Circuit High
226,P0194,Fuel Rail Pressure Sensor A Circuit Intermittent/Erratic
227,P0195,Engine Oil Temperature Sensor
228,P0196,Engine Oil Temperature Sensor Range/Performance
229,P0197,Engine Oil Temperature Sensor Low
230,P0198,Engine Oil Temperature Sensor High
231,P0199,Engine Oil Temperature Sensor Intermittent
232,P0200,Injector Circuit/Open
233,P0201,Injector Circuit/Open Cylinder 1
234,P0202,Injector Circuit/Open Cylinder 2
235,P0203,Injector Circuit/Open Cylinder 3
236,P0204,Injector Circuit/Open Cylinder 4
237,P0205,Injector Circuit/Open Cylinder 5
238,P0206,Injector Circuit/Open Cylinder 6
239,P0207,Injector Circuit/Open Cylinder 7
240,P0208,Injector Circuit/Open Cylinder 8
241,P0209,Injector Circuit/Open Cylinder 9
242,P020A,Cylinder 1 Injection Timing
243,P020B,Cylinder 2 Injection Timing
244,P020C,Cylinder 3 Injection Timing
245,P020D,Cylinder 4 Injection Timing
246,P020E,Cylinder 5 Injection Timing
247,P020F,Cylinder 6 Injection Timing
248,P0210,Injector Circuit/Open Cylinder 10
249,P0211,Injector Circuit/Open Cylinder 11
250,P0212,Injector Circuit/Open Cylinder 12
251,P0213,Cold Start Injector 1
252,P0214,Cold Start Injector 2
253,P0215,Engine Shutoff Solenoid
254,P0216,Injector/Injection Timing Control Circuit
255,P0217,Engine Coolant Over Temperature Condition
256,P0218,Transmission Fluid Over Temperature Condition
257,P0219,Engine Overspeed Condition
258,P021A,Cylinder 7 Injection Timing
259,P021B,Cylinder 8 Injection Timing
260,P021C,Cylinder 9 Injection Timing
261,P021D,Cylinder 10 Injection Timing
262,P021E,Cylinder 11 Injection Timing
263,P021F,Cylinder 12 Injection Timing
264,P0220,Throttle/Pedal Position Sensor/Switch B Circuit
265,P0221,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance
266,P0222,Throttle/Pedal Position Sensor/Switch B Circuit Low
267,P0223,Throttle/Pedal Position Sensor/Switch B Circuit High
268,P0224,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent
269,P0225,Throttle/Pedal Position Sensor/Switch C Circuit
270,P0226,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance
271,P0227,Throttle/Pedal Position Sensor/Switch C Circuit Low
272,P0228,Throttle/Pedal Position Sensor/Switch C Circuit High
273,P0229,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent
274,P022A,Charge Air Cooler Bypass Control A Circuit /Open
275,P022B,Charge Air Cooler Bypass Control A Circuit Low
276,P022C,Charge Air Cooler Bypass Control A Circuit High
277,P022D,Charge Air Cooler Bypass Control B Circuit /Open
278,P022E,Charge Air Cooler Bypass Control B Circuit Low
279,P022F,Charge Air Cooler Bypass Control B Circuit High
280,P0230,Fuel Pump Primary Circuit
281,P0231,Fuel Pump Secondary Circuit Low
282,P0232,Fuel Pump Secondary Circuit High
283,P0233,Fuel Pump Secondary Circuit Intermittent
284,P0234,Turbocharger/Supercharger Overboost Condition
285,P0235,Turbocharger/Supercharger Boost Sensor A Circuit
286,P0236,Turbocharger/Supercharger Boost Sensor A Circuit Range/Performance
287,P0237,Turbocharger/Supercharger Boost Sensor A Circuit Low
288,P0238,Turbocharger/Supercharger Boost Sensor A Circuit High
289,P0239,Turbocharger/Supercharger Boost Sensor B Circuit
290,P023A,Charge Air Cooler Coolant Pump Control Circuit/Open
291,P023B,Charge Air Cooler Coolant Pump Control Circuit Low
292,P023C,Charge Air Cooler Coolant Pump Control Circuit High
293,P023D,Manifold Absolute Pressure Turbocharger/Supercharger Boost Sensor A Correlation
294,P023E,Manifold Absolute Pressure Turbocharger/Supercharger Boost Sensor B Correlation
295,P0240,Turbocharger/Supercharger Boost Sensor B Circuit Range/Performance
296,P0241,Turbocharger/Supercharger Boost Sensor B Circuit Low
297,P0242,Turbocharger/Supercharger Boost Sensor B Circuit High
298,P0243,Turbocharger/Supercharger Wastegate Solenoid A
299,P0244,Turbocharger/Supercharger Wastegate Solenoid A Range/Performance
300,P0245,Turbocharger/Supercharger Wastegate Solenoid A Low
301,P0246,Turbocharger/Supercharger Wastegate Solenoid A High
302,P0247,Turbocharger/Supercharger Wastegate Solenoid B
303,P0248,Turbocharger/Supercharger Wastegate Solenoid B Range/Performance
304,P0249,Turbocharger/Supercharger Wastegate Solenoid B Low
305,P024A,Charge Air Cooler Bypass Control A Range/Performance
306,P024B,Charge Air Cooler Bypass Control A Stuck
307,P024C,Charge Air Cooler Bypass Position Sensor A Circuit
308,P024D,Charge Air Cooler Bypass Position Sensor A Circuit Range/Performance
309,P024E,Charge Air Cooler Bypass Position Sensor A Circuit Low
310,P024F,Charge Air Cooler Bypass Position Sensor A Circuit High
311,P0250,Turbocharger/Supercharger Wastegate Solenoid B High
312,P0251,Injection Pump Fuel Metering Control A (Cam/Rotor/Injector)
313,P0252,Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector)
314,P0253,Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector)
315,P0254,Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector)
316,P0255,Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector)
317,P0256,Injection Pump Fuel Metering Control B (Cam/Rotor/Injector)
318,P0257,Injection Pump Fuel Metering Control B Range/Performance (Cam/Rotor/Injector)
319,P0258,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector)
320,P0259,Injection Pump Fuel Metering Control B High (Cam/Rotor/Injector)
321,P025A,Fuel Pump Module Control Circuit/Open
322,P025B,Fuel Pump Module Control Circuit Range/Performance
323,P025C,Fuel Pump Module Control Circuit Low
324,P025D,Fuel Pump Module Control Circuit High
325,P0260,Injection Pump Fuel Metering Control B Intermittent (Cam/Rotor/Injector)
326,P0261,Cylinder 1 Injector Circuit Low
327,P0262,Cylinder 1 Injector Circuit High
328,P0263,Cylinder 1 Contribution/Balance
329,P0264,Cylinder 2 Injector Circuit Low
330,P0265,Cylinder 2 Injector Circuit High
331,P0266,Cylinder 2 Contribution/Balance
332,P0267,Cylinder 3 Injector Circuit Low
333,P0268,Cylinder 3 Injector Circuit High
334,P0269,Cylinder 3 Contribution/Balance
335,P0270,Cylinder 4 Injector Circuit Low
336,P0271,Cylinder 4 Injector Circuit High
337,P0272,Cylinder 4 Contribution/Balance
338,P0273,Cylinder 5 Injector Circuit Low
339,P0274,Cylinder 5 Injector Circuit High
340,P0275,Cylinder 5 Contribution/Balance
341,P0276,Cylinder 6 Injector Circuit Low
342,P0277,Cylinder 6 Injector Circuit High
343,P0278,Cylinder 6 Contribution/Balance
344,P0279,Cylinder 7 Injector Circuit Low
345,P0280,Cylinder 7 Injector Circuit High
346,P0281,Cylinder 7 Contribution/Balance
347,P0282,Cylinder 8 Injector Circuit Low
348,P0283,Cylinder 8 Injector Circuit High
349,P0284,Cylinder 8 Contribution/Balance
350,P0285,Cylinder 9 Injector Circuit Low
351,P0286,Cylinder 9 Injector Circuit High
352,P0287,Cylinder 9 Contribution/Balance
353,P0288,Cylinder 10 Injector Circuit Low
354,P0289,Cylinder 10 Injector Circuit High
355,P0290,Cylinder 10 Contribution/Balance
356,P0291,Cylinder 11 Injector Circuit Low
357,P0292,Cylinder 11 Injector Circuit High
358,P0293,Cylinder 11 Contribution/Balance
359,P0294,Cylinder 12 Injector Circuit Low
360,P0295,Cylinder 12 Injector Circuit High
361,P0296,Cylinder 12 Contribution/Balance
362,P0297,Vehicle Overspeed Condition
363,P0298,Engine Oil Over Temperature
364,P0299,Turbocharger/Supercharger Underboost
365,P0300,Random/Multiple Cylinder Misfire Detected
366,P0301,Cylinder 1 Misfire Detected
367,P0302,Cylinder 2 Misfire Detected
368,P0303,Cylinder 3 Misfire Detected
369,P0304,Cylinder 4 Misfire Detected
370,P0305,Cylinder 5 Misfire Detected
371,P0306,Cylinder 6 Misfire Detected
372,P0307,Cylinder 7 Misfire Detected
373,P0308,Cylinder 8 Misfire Detected
374,P0309,Cylinder 9 Misfire Detected
375,P0310,Cylinder 10 Misfire Detected
376,P0311,Cylinder 11 Misfire Detected
377,P0312,Cylinder 12 Misfire Detected
378,P0313,Misfire Detected With Low Fuel
379,P0314,Single Cylinder Misfire (Cylinder not Specified)
380,P0315,Crankshaft Position System Variation Not Learned
381,P0316,Engine Misfire Detected on Startup (First 1000 Revolutions)
382,P0317,Rough Road Hardware Not Present
383,P0318,Rough Road Sensor A Signal Circuit
384,P0319,Rough Road Sensor B Signal Circuit
385,P0320,Ignition/Distributor Engine Speed Input Circuit
386,P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance
387,P0322,Ignition/Distributor Engine Speed Input Circuit No Signal
388,P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent
389,P0324,Knock Control System Error
390,P0325,Knock Sensor 1 Circuit Bank 1 or Single Sensor
391,P0326,Knock Sensor 1 Circuit Range/Performance Bank 1 or Single Sensor
392,P0327,Knock Sensor 1 Circuit Low Bank 1 or Single Sensor
393,P0328,Knock Sensor 1 Circuit High Bank 1 or Single Sensor
394,P0329,Knock Sensor 1 Circuit Intermittent Bank 1 or Single Sensor
395,P0330,Knock Sensor 2 Circuit Bank 2
396,P0331,Knock Sensor 2 Circuit Range/Performance Bank 2
397,P0332,Knock Sensor 2 Circuit Low Bank 2
398,P0333,Knock Sensor 2 Circuit High Bank 2
399,P0334,Knock Sensor 2 Circuit Intermittent Bank 2
400,P0335,Crankshaft Position Sensor A Circuit
401,P0336,Crankshaft Position Sensor A Circuit Range/Performance
402,P0337,Crankshaft Position Sensor A Circuit Low
403,P0338,Crankshaft Position Sensor A Circuit High
404,P0339,Crankshaft Position Sensor A Circuit Intermittent
405,P0340,Camshaft Position Sensor A Circuit Bank 1 or Single Sensor
406,P0341,Camshaft Position Sensor A Circuit Range/Performance Bank 1 or Single Sensor
407,P0342,Camshaft Position Sensor A Circuit Low Bank 1 or Single Sensor
408,P0343,Camshaft Position Sensor A Circuit High Bank 1 or Single Sensor
409,P0344,Camshaft Position Sensor A Circuit Intermittent Bank 1 or Single Sensor
410,P0345,Camshaft Position Sensor A Circuit Bank 2
411,P0346,Camshaft Position Sensor A Circuit Range/Performance Bank 2
412,P0347,Camshaft Position Sensor A Circuit Low Bank 2
413,P0348,Camshaft Position Sensor A Circuit High Bank 2
414,P0349,Camshaft Position Sensor A Circuit Intermittent Bank 2
415,P0350,Ignition Coil Primary/Secondary Circuit
416,P0351,Ignition Coil A Primary/Secondary Circuit
417,P0352,Ignition Coil B Primary/Secondary Circuit
418,P0353,Ignition Coil C Primary/Secondary Circuit
419,P0354,Ignition Coil D Primary/Secondary Circuit
420,P0355,Ignition Coil E Primary/Secondary Circuit
421,P0356,Ignition Coil F Primary/Secondary Circuit
422,P0357,Ignition Coil G Primary/Secondary Circuit
423,P0358,Ignition Coil H Primary/Secondary Circuit
424,P0359,Ignition Coil I Primary/Secondary Circuit
425,P0360,Ignition Coil J Primary/Secondary Circuit
426,P0361,Ignition Coil K Primary/Secondary Circuit
427,P0362,Ignition Coil L Primary/Secondary Circuit
428,P0363,Misfire Detected Fueling Disabled
429,P0364,Reservado
430,P0365,Camshaft Position Sensor B Circuit Bank 1
431,P0366,Camshaft Position Sensor B Circuit Range/Performance Bank 1
432,P0367,Camshaft Position Sensor B Circuit Low Bank 1
433,P0368,Camshaft Position Sensor B Circuit High Bank 1
434,P0369,Camshaft Position Sensor B Circuit Intermittent Bank 1
435,P0370,Timing Reference High Resolution Signal A
436,P0371,Timing Reference High Resolution Signal A Too Many Pulses
437,P0372,Timing Reference High Resolution Signal A Too Few Pulses
438,P0373,Timing Reference High Resolution Signal A Intermittent/Erratic Pulses
439,P0374,Timing Reference High Resolution Signal A No Pulse
440,P0375,Timing Reference High Resolution Signal B
441,P0376,Timing Reference High Resolution Signal B Too Many Pulses
442,P0377,Timing Reference High Resolution Signal B Too Few Pulses
443,P0378,Timing Reference High Resolution Signal B Intermittent/Erratic Pulses
444,P0379,Timing Reference High Resolution Signal B No Pulses
445,P0380,Glow Plug/Heater Circuit A
446,P0381,Glow Plug/Heater Indicator Circuit
447,P0382,Glow Plug/Heater Circuit B
448,P0383,Glow Plug Control Module Control Circuit Low
449,P0384,Glow Plug Control Module Control Circuit High
450,P0385,Crankshaft Position Sensor B Circuit
451,P0386,Crankshaft Position Sensor B Circuit Range/Performance
452,P0387,Crankshaft Position Sensor B Circuit Low
453,P0388,Crankshaft Position Sensor B Circuit High
454,P0389,Crankshaft Position Sensor B Circuit Intermittent
455,P0390,Camshaft Position Sensor B Circuit Bank 2
456,P0391,Camshaft Position Sensor B Circuit Range/Performance Bank 2
457,P0392,Camshaft Position Sensor B Circuit Low Bank 2
458,P0393,Camshaft Position Sensor B Circuit High Bank 2
459,P0394,Camshaft Position Sensor B Circuit Intermittent Bank 2
460,P0400,Exhaust Gas Recirculation Flow
461,P0401,Exhaust Gas Recirculation Flow Insufficient Detected
462,P0402,Exhaust Gas Recirculation Flow Excessive Detected
463,P0403,Exhaust Gas Recirculation Control Circuit
464,P0404,Exhaust Gas Recirculation Control Circuit Range/Performance
465,P0405,Exhaust Gas Recirculation Sensor A Circuit Low
466,P0406,Exhaust Gas Recirculation Sensor A Circuit High
467,P0407,Exhaust Gas Recirculation Sensor B Circuit Low
468,P0408,Exhaust Gas Recirculation Sensor B Circuit High
469,P0409,Exhaust Gas Recirculation Sensor A Circuit
470,P040A,Exhaust Gas Recirculation Temperature Sensor A Circuit
471,P040B,Exhaust Gas Recirculation Temperature Sensor A Circuit Range/Performance
472,P040C,Exhaust Gas Recirculation Temperature Sensor A Circuit Low
473,P040D,Exhaust Gas Recirculation Temperature Sensor A Circuit High
474,P040E,Exhaust Gas Recirculation Temperature Sensor A Circuit Intermittent/Erratic
475,P040F,Exhaust Gas Recirculation Temperature Sensor A/B Correlation
476,P0410,Secondary Air Injection System
477,P0411,Secondary Air Injection System Incorrect Flow Detected
478,P0412,Secondary Air Injection System Switching Valve A Circuit
479,P0413,Secondary Air Injection System Switching Valve A Circuit Open
